Numero da Peca,Descricao,Quantidade,Localizacao
A  0061530728,SENSOR DE TEMPERATURA GAS PARA MOTORES,1,16H07
A  0063266700,AMORTECEDOR DA SUSPENSAO TRASEIRO .,2,ESTRADO 4
A  00642022200097,JOGO DE PASTILHAS DE FREIO COM SENSOR,1,09H02
A  0064293544,VALVULA REGULADORA DE PRESSAO ABS,1,16F10
A  0065451114,INTERRUPTOR DE PRESSAO,7,16H28
A  00654591260064,TERMINAL ELETRICO,25,04D03
A  0069908604,PARAFUSOS DE CABCA SEXTAVADA C-ACO LIGA,1,24D10
A  0069971190,CINTA PLASTICA P/FIXACAO ENCANAMENTO AR,2,03F16
A  0069971890,BRACADEIRA DA MANGUEIRA,4,01A10
A  0069979346,RETENTOR DE BORRACHA,11,05E02
A  0070172621,LU PORTA-INJETOR,4,03B11
A  0071517501,MOTOR DE PARTIDA,2,ESTRADO 4
A  0071531128,SENSOR DE UMIDADE E TEMPERATURA,1,20C07
A  0073262700,CONJUNTO AMORTECEDOR TRAS.PARA CAMINHAO,1,27E01
A  0074314112,AGREGADO HIDRAULICO,1,21A09
A  0075421318,SENSOR DE TEMPERATURA,11,16A13
A  0075422018,SENSOR DE ROTACOES,1,02C03
A  0075422118,SENSOR DE ROTACOES EIXO TRAS. ESQ.,1,06C03
A  0075422218,SENSOR DE ROTACOES,2,06A10
A  0075422318,SENSOR DE ROTACOES,1,04D15
A  0075422418,SENSOR DE ROTACOES,1,04G10
A  0075425918,SENSOR REGULAGEM DO NIVEL EIXO TRAS.,2,05G06
A  0075426018,SENSOR DE PRESSAO DA SUSPENSAO,1,04E17
A  00754262180064,CJ SENSOR DE ROTACOES,2,03A02
A  0079901301,PARAFUSO - ACO LIGA,4,15D23
A  0079901401,PARAFUSO - ACO LIGA,90,15C23
A  0079941841,"ANEL DE TRAVA 2,50 MM",2,03A03
A  0079971692,JOGO DE CORREIA V (PAR),12,18F02
A  0079972272,CONEXAO DE ENCAIXE,1,04A08
A  0079979071,JG. PECA DE CONEXAO,1,16F18
A  0084461240,MODULO COMANDO UNID.DE CONTR.DO MOTOR,1,13E05
A  0089811325,ROLAMENTO DE ESFERAS + ANEL,3,07F06
A  0089930801,MOLA,2,06E07
A  0089976082,TUBO DE NYLON 6X1MM,5,18D14
A  0089976152,CONJUNTO MANGUEIRA DE ALTA  RESSAO,1,18F04
A  0091533628,SENSOR DE NOX DO ESCAPE,3,16B25
A  0091535128,SENSOR DE PRESSAO,2,16E02
A  00925046040010,KIT EMBREAGEM,1,ESTRADO 5
A  00954232180064,BOIA DO TANQUE DE COMBUSTIVEL,2,ESTRADO 5
A  0095458126,TERMINAL ELETRICO,50,20A04
A  0099881178,CLIP DO INSTRUMENTO COMBINADO,3,06F04
A  00998818780064,PRESILHA - POLIAMIDA,6,16E31
A  0101537228,SENSOR DE PRESSAO,1,20B02
A  01025007040010,KIT EMBREAGEM,1,ESTRADO 5
A  0109813125,ROLAMENTO DE ESFERAS RANHURADAS,1,16C25
A  0109819125,ROLAMENTO DE ESFERAS NO PORTA-PLANETARIO,1,20B15
A  0109975482,TUBO SINTETICO,14,19I15
A  0109978845,ANEL 0-RING,1,16G11
A  0111537528,SENSOR NOX / GEN3.5A,1,06I12
A  0111537628,SENSOR NOX / GEN3.5A,1,04E16
A  0111539128,SENSOR ELETRONICO DE NIVEL DE OLEO,1,16E14
A  0111539228,SENSOR DE PRESSAO DE OLEO,1,16D16
A  0111539328,SENSOR DE PRESSAO,1,04C15
A  0112504704,LU PLATO DE EMBREAGEM,2,ESTRADO 5
A  0115421718,SENSOR DA PRESSAO,2,04C06
A  0115425018,SENSOR DE TEMPERATURA,1,06G09
A  0115427418,SENSOR DE TEMPERATURA,1,06E02
A  0115429818,SENSOR DA PRESSAO,1,06F05
A  0115457726,TERMINAL DE CONTATO ELETRICO,31,20D14
A  0119811305,"ROLAMENTO ROLOS CONICOS ""ACO",2,19D11
A  0119813625,ROLAMENTO RIGIDO DE ESFERAS,1,05E03
A  0119973289,CONECTOR LATAO,1,06F08
A  0125421017,INDICADOR DE TEMPERATURA,1,02E08
A  0125426218,SENSOR DE BATERIA,3,05D05
A  0125450426,TERMINAL ELETRICO,2,16E17
A  0125450607,INTERRUPTOR BASCULANTE,1,16F23
A  0129970246,RETENTOR RADIAL,1,21A13
A  0129970745,ANEL DE VEDACAO,1,21C03
A  0135454626,TERMINAL ELETRICO,48,02C08
A  0135456426,CARCACA DA TOMADA DE 18 POLOS,3,04C12
A  0139970148,ANEL DE VEDACAO      BORRACHA,9,23A16
A  0139972646,RETENTOR DE VEDACAO RADIAL,2,04F07
A  0139973546,RETENTOR RADIAL - BORRACHA,26,17A07
A  0139976246,RETENTOR RADIAL,1,16C20
A  0139977346,RETENTOR DE VEDACAO RADIAL,4,05F04
A  0139977548,"ANEL VEDACAO CIL.COM.BORRACHA 89,5 X 3MM",1,04A02
A  0145458326,TERMINAL ELETRICO,63,20C06
A  0149901001,PARAFUSO - ACO LIGA,2,15G32
A  0149970546,RETENTOR RADIAL,5,06F07
A  0149971246,RETENTOR 110MM,4,04E10
A  0149974346,RETENTOR RADIAL,5,19D02
A  01499776480064,ANEL DE VEDACAO DE BORRACHA,1,04G09
A  0149978745,ANEL VEDACAO NO CJ.FILTRO E REFRIG.OLEO,1,20B23
A  01554227170064,SENSOR DE VELOCIDADE,2,04G02
A  0159816205,ROLAMENTO DE ROLOS CONICOS,1,21C16
A  0159819005,ROLAMENTO DE ROLETES CONICOS,2,02B01
A  0159972748,ANEL DE VEDACAO     BORRACHA,2,SL
A  0159974048,ANEL DE VEDACAO      BORRACHA,1,04C18
A  0159974946,RETENTOR RADIAL,1,02D11
A  0159974947,ANEL RETENTOR DE BORRACHA,3,06E04
A  0159977846,RETENTOR RADIAL DE BORRACHA,5,03E04
A  01599790450064,JOGO DE PECAS ANEIS DE VEDACAO,10,07G06
A  0159979347,RETENTOR DE VEDACAO RADIAL,2,04F09
A  0165428017,SENSOR DE IMPULSOS,1,21E03
A  0165451226,CARCACA DE ENCAIXE,3,05F02
A  0165454126,TERMINAL ELETRICO,109,02C10
A  0169970646,RETENTOR RADIAL,1,03A11
A  0169972346,RETENTOR RADIAL-BORRACHA,1,20H20
A  0169973648,ANEL DE VEDACAO,1,01H06
A  0169974048,ANEL O-RING 255 X 5,2,SL
A  0169975746,ANEL DE VEDACAO,1,16C26
A  0169975846,ANEL DE VEDACAO RADIAL-BORRACHA+ACO,68,17F01
A  0175427617,SENSOR DE IMPULSOS,1,04D20
A  0175428917,SENSOR DE IMPULSOS,2,06C07
A  0179815105,ROLAMENTO DE ROLOS CONICOS,2,20D04
A  0179817105,ROLAMENTO ROLOS CONICOS-ENGREN.CONSTANTE,2,20B17
A  0179817905,ROLAMENTO CONICO 150 MM,1,16H26
A  0189816805,ROLAMENTO DE ROLOS CONICOS,3,07G04
A  0189819205,ROLAMENTO CONICO 140 MM,1,08A03
A  0189971948,ANEL O-RING,1,20D23
A  0194207918,LU CILINDRO DE DUPLA ACAO   DIR 24/30,1,ESTRADO 4
A  0195452228,TERMINAL DE CONTATO ELETRICO,1,02A11
A  0198205110,SENSOR DO RESERVATORIO INTERNO CLIMATIZA,1,02F12
A  0199970545,ANEL O-RING,6,01E17
A  0199970547,RETENTOR,3,04C09
A  0199978048,ANEL DE VEDACAO - ACO+BORRACHA,20,01B13
A  0199978348,ANEL DE VEDACAO     BORRACHA,1,04C10
A  0209815205,ROLAMENTO DE ROLOS CONICOS,2,20E02
A  0209900501,PARAFUSO SEXT COMB,2,15G25
A  0209905901,PARAFUSO SEXTAVADO COM FLANGE,9,15E29
A  0209977848,ANEL O-RING 138 X 3 MM,1,20G10
A  0219816105,ROLAMENTO DE ROLOS CONICOS,1,04D16
A  0219971648,ANEL DE VEDACAO,2,21F05
A  0219975947,RETENTOR COMBINADO,5,03D09
A  0219978948,ANEL DE VEDACAO DE BORRACHA,3,09G01
A  0222500403,LU DISCO DE EMBREAGEM,1,ESTRADO 5
A  02425098010097,CJ. EMBREAGEM,2,ESTRADO 5
A  0244204118,LU CILINDRO DE DUPLA ACAO DIR / 24/24,1,14C04
A  0249972848,ANEL-O,10,05C11
A  0249973247,ANEL DE VEDACAO DE BORRACHA,2,19C13
A  0249978347,ANEL DE VEDACAO DE BORRACHA,8,23C04
A  02599750470064,RETENTOR RADIAL,5,05D09
A  0265451026,CONECTOR PLASTICO,11,03F12
A  0265451126,CJ CONECTOR 4 POLOS,1,02G13
A  0265451526,CONECTOR,1,04E09
A  02725019010097,CJ. EMBREAGEM BI-DISCO,3,ESTRADO 0
A  0282501401,KIT EMBREAGEM,2,ESTRADO 0
A  02825014010098,CJ. EMBREAGEM,4,ESTRADO 5
A  0282509701,JOGO DE PECAS DA EMBREAGEM,1,ESTRADO 6
A  0289972348,ANEL DE VEDACAO DE BORRACHA,1,16E28
A  0289978045,ANEL - O,78,01B04
A  0292501503,LU DISCO DE EMBREAGEM,1,ESTRADO 5
A  0292503403,LU DISCO DA EMBREAGEM,2,ESTRADO 5
A  0292505801,CJ EMBREAGEM A SECO DE DOIS DISCOS,1,ESTRADO 6
A  0292506101,JOGO DE PECAS EMBREAGEM A SECO,3,ESTRADO 6
A  0292506201,CJ EMBREAGEM A SECO DE DOIS DI,1,ESTRADO 6
A  0292507301,CJ EMBREAGEM DE MONODISCO SECO,1,ESTRADO 6
A  0309977645,ANEL DE VEDACAO,2,16C28
A  0485454028,CARTER DA EMBREAGEM,1,16D01
A  0949904609,PARAFUSO SEXTAVADO,4,15F04
A  1020530026,CONE DA VALVULA,30,01G02
A  11029101820097,REVESTIMENTO DO PEDAL,10,20A10
A  1235040246,PORCA ELASTICA,16,19D14
A  1239971081,BOCAL,11,01E07
A  1685450528,CONECTOR,1,16C30
A  2109970032,BUJAO ROSCADO,6,02D10
A  2218209110,INTERRUPTOR,1,02C06
A  30142301010097,TAMBOR DE FREIO,2,ESTRADO 0
A  3028880224,MANCAL DE BORRACHA.,4,16E21
A  30542100010097,TAMBOR DE FREIO,2,ESTRADO 0
A  3054230701,TAMBOR FREIO 306X480 P/CARTOLA,1,ESTRADO 0
A  30542307010097,TAMBOR DE FREIO,1,ESTRADO 0
A  3079970172,CONEXAO,2,20E04
A  3092910091,PRATO DA MOLA MATL.POLIAMIDA,2,02B07
A  3183200073,CJ COXIM DE BORRACHA,8,23B07
A  3199900005,PARAFUSO PRISIONEIRO,1,01D17
A  3211310050,"BUCHA DA BIELA, COMPRESSOR DE AR",3,16D22
A  3223530176,PARAFUSO DE AJUSTAGEM,1,19B10
A  3259900562,PORCA BORBOLETA,57,04B17
A  3273501588,CONJUNTO GARFO DO DIFERENCIAL,1,22C06
A  3273532952,"ARRUELA DE COMPENSACAO 1,5",1,21E05
A  3275450274,PINO DE PRESSAO,2,09F02
A  3279970026,ARRUELA ESFERICA,2,16A02
A  3363240171,PARAFUSO DA MOLA,14,15D31
A  3383500138,CONJUNTO SUPORTE,1,16B07
A  3383530090,CAPA PROTETORA,1,03E12
A  3383530232,ALAVANCA,1,04B11
A  34401031500080,MOTOR RENOV COMPACTO OM352,1,ESTRADO 1
A  34405400051100,VARETA,9,18E08
A  34458474381100,ETIQUETA ADESIVA,1,01G09
A  34533078030098,BARRA DE DIRECAO,1,30
A  3453500054,JOGO DE PECAS ENGRENAGEM PLANETARIA,3,23D16
A  3454298236,CONEXAO COM ROSCA,1,01C07
A  3459977490,BRACADEIRA DE PLASTICO.,120,02D13
A  3459978446,RETENTOR DE BORRACHA,18,04D10
A  3463530950,"BUCHA, CRUZETA",7,16A29
A  3463531952,"ARRUELA DE COMPENSACAO 0,15",1,14D04
A  3463533251,ANEL DISTANCIADOR,6,03G17
A  3463544312,ENGRENAGEM PLANETARIA,1,14C06
A  3463549609,"TRAEGER D. 228,3MM - 85 DENTES",1,06I10
A  3463560073,TRAVA,35,01G23
A  3464211052,ARRUELA,1,02A09
A  34642305010097,TAMBOR DE FREIO,3,ESTRADO 0
A  3469903101,PARAFUSO M14X1X45 12.9 DBL9400.00 DIN716,1,15F06
A  3520540501,TUCHO DA VALVULA,12,07A08
A  3522680450,BUCHA,1,02A06
A  3531550150,CASQUILHO,1,16I08
A  3553320273,TRAVA,8,16I22
A  3598690094,MANGUEIRA,2,18F12
A  3603560052,ARRUELA DISTANCIADORA,1,02D04
A  3609970982,MANGUEIRA - TUBO E MANGOTE,1,20C17
A  3640160121,JUNTA,3,19C15
A  3641880480,JUNTA,1,03F15
A  3643207069,CONJ. FILTRO DE AR,1,04B06
A  3644200041,JG.REPARO MANCAL EIXO COMANDO DO FREIO,1,ESTRADO 4
A  3649970052,MANGUEIRA DO OLEO - 100 MM,1,03C13
A  3660160620,JUNTA  METALOPLAST.DO CABECOTE DO MOTOR,1,VIDROS
A  3661800401,CONJ BOMBA DE OLEO,1,05A01
A  3669900240,ARRUELA,64,01D18
A  3683231000,AMORTECEDOR DIANTEIRO (ACO E BORRACHA),2,08E01
A  36842001380097,CJ. REGULADOR DE FREIO,1,11A18
A  3740940104,ELEMENTO DO FILTRO,5,ESTRADO 6
A  3742030075,REGULADOR DA AGUA DE REFRIGERACAO,1,03G13
A  3753200844,BATENTE DE BORRACHA,1,22B02
A  3756602330,SUPORTE DE BORRACHA DO ESTRIBO,1,22E14
A  3756602830,SUPORTE ESTRIBO ATRAS ESQUERDO,1,02D03 | 16E21
A  37601075500080,MOTOR RENOV COMPACTO OM366 LA,1,ESTRADO 1
A  3760109150,MOTOR COMPACTO COM CABECOTE,2,ESTRADO 1
A  3760760053,TUBO DISTANCIADOR,1,02H01
A  3760903301,CONJ FILTRO DE AR C/ SUPORTE - LU,1,ESTRADO 2
A  3760927301,FILTRO DE COMBUSTIVEL,3,29C04
A  37609273010097,FILTRO DE COMBUSTIVEL SEPARADOR DE AGUA,1,12D03
A  3760940382,MANGUEIRA DE BORRACHA,1,04B09
A  37609481040097,FILTRO DE AR,4,ESTRADO 6
A  3760948304,ELEMENTO FILTRANTE -PAPEL,6,27D09
A  3762001152,CONJ. TUBULACAO D'AGUA DE REFRIGERACAO,1,08B06
A  3765457528,TERMINAL FUSE-CONTACT BUS-BAR,1,SL
A  3819900542,ARRUELA,4,02D09
A  3822500001,KIT P/EMBREAGEM OM-366 -330MM,1,ESTRADO 5
A  3823230100,LU AMORTECEDOR - EIXO DIANTEIRO (EM ACO),8,27D08
A  3824200120,SAPATA DE FREIO COM LONA REBITADAS,6,ESTRADO 5
A  3824200320,SAPATA DO FREIO 220MM BUS,2,ESTRADO 5
A  3824232410,"JG.LONAS FREIO REPA.I 18,7MM-NAO MONTADA",12,ESTRADO 5
A  3824232510,"JG.LONAS FREIO REPAROII 19,7MM-N/MONTADA",16,ESTRADO 5
A  3824232610,"JG.LONAS FREIO REPA.NORMAL 17,7MM N/MONT",4,ESTRADO 5
A  3825000003,LU RADIADOR DE OLEO,3,27B03
A  3825011784,MANGUEIRA DE AGUA,3,30
A  3825011984,LU MANGUEIRA PRE-MOLDADA,1,30
A  3825420617,SENSOR DE POSICAO,2,06B04
A  3829900901,PARAFUSO SEXTAVADO COM FLANGE,25,15C25
A  3829930011,LU MOLA DE TRACAO,9,16A07
A  3829950901,LU ABRACADEIRA 50-59,10,16C14
A  3842602151,LU CABO DE ACO / 5.8,1,30
A  3842680197,COIFA SUPERIOR(FOLE) - BORRACHA,1,18D01
A  38426802970097,CJ. FOLE INFERIOR,2,12F05
A  38426885890090,CONTRA -TRAVA METALICA DO TRAM CONTRA - TRAVA META,10,11A15
A  38426890890090,TRAVA METALICA DO TRAMBULADOR,3,01B23
A  3842950006,CILINDRO GERADOR DA EMBREAGEM,1,21C20
A  3842950035,TUBULACAO HIDRAULICA DA EMBREAGEM,1,30
A  3843231100,AMORTECEDOR EIXO DIANTEIRO,4,06D10
A  3843237081,METADE BUCHA DO MANCAL,3,04C20
A  3844600062,ZB TUBO HIDRAULICO,1,30
A  3844661081,TUBULACAO HIDRAULICA - RETORNO,4,18G03
A  3844761001,ENCANAMENTO DO ADITIVO ARLA 32,2,18H09
A  38450113820097,MANGUEIRA DE SILICONE VERMELHA,3,11E08
A  38450114820097,MANGUEIRA DE SILICONE PRETA,2,11E07
A  3845012782,LU MANGUEIRA PRE-FORMADA DO MOTOR,1,18H12
A  3845018684,LU GRUPO DE MANGUEIRAS MOLDADAS,4,30
A  3845458226,TERMINAL DE CONTATO ELETRICO,1,05C07
A  3849907801,PARAF. M10 ACO QUALIDADE 12.9 DBL9400.00,16,15C09
A  3849940002,PRESILHA,20,16B13
A  3849977090,ABRACADEIRA,20,04F16
A  3849977490,ABRACADEIRA DE ACO,3,04B20
A  3855420317,ANEL MEDICAO ABS 172MM,2,04A11
A  3863500339,CONJ COROA E PINHAO 39:8,1,ESTRADO 5
A  3863560073,ARRUELA DE SEGURANCA,2,01H24
A  3863567073,ARRUELA  TRAVA,1,02B11
A  3869907192,CJ REBITE,4,01D15
A  3869977247,"ANEL VEDADOR 160,5X120,7X28,6 MM",3,05D04
A  3872620893,MOLA DA ENGRENAGEM 2A.VELOC.ACO,4,04F06
A  3872670650,BUCHA DO CILIND.COMAND. COBRE,12,06D09
A  3873320271,PARAFUSO - ACO LIGA,1,15A32
A  3879932101,MOLA DE ACO,4,04A01
A  3879934401,MOLA DO BLOQUEIO B.COMANDO   - ACO,9,06B06
A  3879934501,MOLA DO BLOQUEIO B.COMANDO ACO,15,06C05
A  3884200119,CJ SAPATA DO FREIO,1,14B06
A  3889937110,MOLA DE RETROCESSO (SAPATA DO FREIO),17,19G10
A  3892610074,PINO            ACO,1,04F02
A  3892610665,DISCO REDUTOR PRESSAO OLEO,2,18C13
A  3892620637,CONE SINCRONIZADOR     ACO,1,05G11
A  3892620773,ANEL TRAVA,2,05D02
A  38926230550064,ARRUELA DE COMPENSACAO,19,20E20
A  3892623273,"TRAVA DO EIXO SECUNDARIO 2,40 MM - ACO",3,01C16
A  3892623373,"TRAVA DO EIXO SECUNADRIO DE 2,4 MM - ACO",3,01F14
A  3892623473,"TRAVA DO EIXO SECUNDARIO DE 2,50MM-ACO",3,03D15
A  3892624935,CORPO SINCRONIZADOR DAS PLANETARIAS,1,06C12
A  3892635352,ARRUELA DE COMPENSACAO,1,04E03
A  38926373520064,ARRUELA DE ACO DA CAIXA DE MUDANCA,20,21A01
A  3892640780,JUNTA DA TAMPA DA TOMADA DE FORCA,1,04A12
A  3892671174,EIXO DE BLOQUEIO,5,06I09
A  3892690706,ENGRENAGEM DO CAMBIO,4,16E20
A  3892691406,ENGRENAGEM ACIONADORA - ACO,2,04E08
A  3899971572,CONEXAO,2,16B10
A  4031420380,JUNTA DE ACO,3,04G15
A  4220780181,MANGUEIRA DO COMBUSTIVEL,9,16H08
A  4229900051,PORCA,5,02B05
A  4239900004,PARAFUSO DA CARCACA DE DISTRIB- ACO LIGA,5,15C06
A  4420380071,PARAFUSO DA BIELA (ACO),21,15E09
A  44218701800064,JUNTA DE PLASTICO DO MOTOR,2,16C22
A  44220103800064,JUNTA DE VEDACAO,8,18A14
A  4429905163,CONEXAO,3,05A10
A  4470140322,JUNTA DO CARTER,1,07G01
A  4570100082,CJ.MANGUEIRA VENTIL.-ELASTOMERO C/TECIDO,13,19G13
A  4570100930,LU TAMPA DO CABECOTE,1,18G12
A  4570101364,TUBO DE ENCHIMENTO,1,18D11
A  4570102744,KIT MOTOR C/CAMISA S/REFRI.SUPER.OM457LA,6,ESTRADO 5
A  4570110259,ANEL TOMBAK VEDACAO-CAMISA CILINDRO ACO,6,03I11
A  4570110280,JUNTA METALICA COM NERVURAS,2,18E02
A  4570140222,JUNTA DO CARTER - PAPEL,1,VIDROS
A  4570140522,JUNTA DE VEDACAO DO CARTER DE OLEO,1,VIDROS
A  45701602210064,VEDACAO TAMPA DO CABECOTE,36,07E03
A  4570180033,LU MEMBRANAS DE ELASTOMERO,1,19C08
A  4570180282,LU MANGUEIRA PRE-FORMADA,1,07A02
A  4570301160,JOGO CASQUILHO DA BIELA STANDART,2,20A09
A  45703051170010,KIT PISTAO COM CAMISA,6,ESTRADO 6
A  4570310401,VIRABREQUIM,1,ESTRADO 0
A  4570540405,HASTE DE TUCHO,4,03B09
A  4570700246,LU VALVULA,1,20G23
A  4570910180,"JUNTA METALICA 0,4 MM",5,01D24
A  4570920001,FILTRO DE COMBUSTIVEL MT. PAPEL,2,29B07
A  4570980080,VEDACAO,2,05F01
A  45709802830097,MANGUEIRA DE ADMISSAO DE AR,1,11B07
A  4570980380,JUNTA DO COLETOR DE ADMISSAO,10,04F10
A  4570980839,SUPORTE,1,03H02
A  4570981139,SUPORTE,1,19E11
A  4571310180,JUNTA DO COMPRESSOR,8,23C05
A  4571404753,CJ FLANGE DO FREIO MOTOR,2,27D03
A  4571410080,JTA.METALOPLAST. COLETOR ESCAPE MOTOR,6,05E09
A  4571552535,SUPORTE DO ALTERNADOR,2,03E15
A  4571801222,LU TUBULACAO DE RETORNO DE OLEO,2,23E11
A  4571801943,BICO INJETOR DE OLEO,4,20C15
A  4571880280,JUNTA METALOCIL,1,18G10
A  4572000758,TUBULACAO DE VENTILACAO,1,30
A  45720016010097,BOMBA D'AGUA (ROTOR 125MM),4,ESTRADO 4
A  4572002101,LU BOMBA D'AGUA,1,14B08
A  4572004470,LU TENSOR DE CORREIA,3,06H04
A  4572004570,LU TENSOR DE CORREIA,2,16C18
A  45720045700097,CJ. TENSOR DE CORREIA,1,11C17
A  4572006552,TUBO DA AGUA DE REFRIGERACAO,1,16A19
A  4572010380,JUNTA DE VEDACAO DA CARCACA BOMBA DAGUA,1,18E01
A  4579901201,PARAFUSO - ACO LIGA,24,15E20
A  4579902001,PARAFUSO CABECA SEXTAVADA C/ FLANGE,8,15E21
A  4579970945,ANEL-O,6,19G01
A  4579971145,ANEL DE VEDACAO,1,07B02
A  4600100930,CJ TAMPA DO CABECOTE,1,21D05
A  4600110180,JUNTA TAMPA DO BLOCO,4,07D07
A  4600160720,JUNTA DE CABECOTE,6,16E29
A  4600300840,TS JG/PECAS MANCAL DA ARVORE DE MANIVELA,4,23B17
A  4600300940,TS JG DE PC MANCAL DA ARVORE DE MANIVELA,2,20A07
A  4600301205,ZB VOLANTE DO MOTOR,2,ESTRADO 5
A  4600301660,JOGO DE PECAS MANCAL DA BIELA,1,19C12
A  4600500022,LU TUCHO DE ROLOS / STD,18,16A18
A  4600700633,TUBO DE PRESSAO DE ACO DO MOTOR,2,16F06
A  4600960599,CJ TURBO COMPRESSOR,3,ESTRADO 5
A  4600984707,TUBO DO AR DE CARGA,1,27B01
A  4600986807,TUBO DO AR DE CARGA,1,14D09
A  4601300615,COMPRESSOR 2 CILINDROS,1,27C08
A  4601800009,JOGO DE PECAS DO ELEMENTO FILTRO DE OLEO,39,29A03
A  4700783210,LU TUBO DE ALTA PRESSAO,3,03C03
A  4700900055,JOGO DE PECAS FILTRO,9,28D01
A  4700908252,JOGO DE PECAS FILTRO,3,23B05
A  4700908652,FILTRO DE COMBUSTIVEL,1,ESTRADO 4
A  47009601800064,JUNTA METALICA,1,07F05
A  4701800309,ELEMENTO DO FILTRO DO OLEO,8,17F09
A  4702000722,ACOPLAMENTO VISCOSO SIST.ARREFECIMENTO,2,ESTRADO 5
A  4702001670,TENSOR DE CORREIA,1,04H18
A  4710160521,JUNTA DA TAMPA DO CABECOTE,1,21F10
A  4710310032,ANEL RETENTOR,1,07D04
A  4710901150,ZB BOMBA DE COMBUSTIVEL,2,27B09
A  4710904137,LU*TUBO DO AR DE CARGA,1,ESTRADO 4
A  4710983008,TUBO DO AR DE CARGA,1,ESTRADO 4
A  4711307215,COMPRESSOR DO AR,1,ESTRADO 4
A  4711308957,LU TUBULACAO DE SUCCAO,4,30
A  47114201800028,JUNTA DO COLETOR DE ESCAPE CIL,1,23A02
A  47114202800064,JUNTA DO COLETOR DE ESCAPE CIL,1,22C04
A  4720700555,CJ UNIDADE DE DOSADORA-ALUMINIO,1,04D07
A  4720980080,VEDACAO,1,03C15
A  4720980480,VEDACAO TB.AR-CARGA,2,20B11
A  4720980680,VEDACAO,1,03F14
A  4720980880,VEDACAO TB.AR-CARGA,1,23B04
A  4721423080,LU VEDACAO METALICA,1,19B11
A  4721807001,BOMBA DE OLEO,1,07D08
A  4722001001,BOMBA DO LIQUIDO DE ARREFECIMENTO,2,07C05
A  4722001070,TENSIONADOR PRINCIPAL DA CORREIA,1,18A05
A  4722021219,ROLO INVERSOR,1,03E08
A  4731800809,JOGO PECAS FILTRO,8,17G05
A  4750157009,TAMPA DA CARCACA DE DISTRIBUICAO,1,16C27
A  4760301317,CJ PISTAO COM CAMISA DO CILINDRO,3,ESTRADO 5
A  4760700433,CONJ TUBO DE PRESSAO CURVADO,1,17B08
A  4760940004,ELEMENTO PRINCIPAL FILTRO AR,4,ESTRADO 6
A  4760940104,ELEMENTO FILTRANTE SEG.DO FILTRO AR,6,ESTRADO 6
A  5410100163,LU ELEMENTO FILTRANTE-SEPARADOR DE OLEO,1,SL
A  5410101621,JOGO DE JUNTAS DO CABECOTE,9,06I05
A  5410110080,JUNTA DE BORRACHA,1,03D01
A  5410110459,ANEL DE VEDACAO (BORRACHA),3,05G07
A  5410140722,JUNTA DO CARTER,1,05A02
A  5410150980,JUNTA - SEPARADOR DE OLEO,9,06D01
A  5410151380,JUNTA TAMPA CARCACA DISTRIBUICA-BOCHACHA,1,21A20
A  5410151680,JUNTA CARCACA DE DISTRIBUICAO - BORRACHA,1,06E10
A  5410151780,JUNTA DA CARCACA DISTRIBUICAO - BORRACHA,1,19H15
A  5410160791,VALVULA,6,16E07
A  5410161720,JUNTA DE CABECOTE,6,20G15
A  5410170171,CONEXAO,1,01B22
A  5410181112,TUBO DE RESPIRO DO MOTOR,2,19D09
A  5410301460,JOGO CASQUILHOS BIELA - NORMAL,12,06B07
A  5410301905,LU VOLANTE DO MOTOR,1,ESTRADO 5
A  5410304837,JOGO DE PECAS CAMISA DO CILINDRO,12,ESTRADO 5
A  5410331762,ARRUELA DE ENCOSTO - NORMAL,3,06C02
A  5410380071,PARAFUSO DA TAMPA DA BIELA - ACO LIGA,12,15G28
A  5410380450,BUCHA DE BIELA - ACO,4,21H11
A  5410500370,VALV.COMANDO ESTRANGULAMENTO CONSTANTE.,1,06F13
A  5410530120,MOLA DA VALVULA,1,16D06
A  5410700646,VALVULA ENCANAMENTO RETORNO COMBUSTIVEL,2,16D21
A  5410702133,ENCANAMENTO PRESSAO UNIDADE INJETORA,1,06G08
A  54109001510098,FILTRO DE COMBUSTIVEL,23,12A04
A  5410900251,JOGO DE PECAS ELEMENTO DO FILTRO DE OLEO,51,29B01
A  5410980480,JUNTA DE ADMISSAO (BORRACHA),17,04B18
A  5411300108,CAMISA DO COMPRESSOR COM PISTAO,1,17C09
A  5411301919,CABECOTE DO COMPRESSOR DE AR DO MOTOR,1,05F10
A  5411303619,CABECOTE DO COMPRESSOR,2,17H04
A  5411310131,PLACA DE VALVULAS,2,04D07
A  5411310780,JUNTA CAMISA CILINDRO COMPRESSOR CX DIST,1,21A15
A  5411311380,JUNTA DE VEDACAO DO CABECOTE COMPRESSOR,5,21B03
A  5411401055,TUBO DE PRESSAO - BORRACHA,1,18F09
A  5411402903,TUBO CURVO,1,28A02
A  5411403003,TUBO CURVO ( A DIREITA ),2,22F16
A  5411420380,JUNTA - METALICA,13,20C05
A  5411800209,JG.PECAS DO ELEMENTO DO FILTRO DE OLEO,30,29A01
A  54118002090098,FILTRO DE OLEO,14,12C09
A  5411800943,BICO INJETOR DE OLEO,4,20A18
A  5411801015,LU VALVULA DE SOBRECARGA,2,03D11
A  5411801520,ENCANAMENTO OLEO,1,18B12
A  5411840980,JUNTA METALOPLASTICA REFRIGERADOR OLEO,1,18A12
